"","No screening","0.648 0.496 POCT","0.576 0.496 POCT","0.504 0.496 POCT","0.648 0.64 POCT","0.576 0.64 POCT","0.504 0.64 POCT","0.648 0.784 POCT","0.576 0.784 POCT","0.504 0.784 POCT","0.9999 0 POCT","0.882 0.417 POCT","0.807 0.61 POCT","0.667 0.872 POCT","0.533 0.952 POCT","0.331 0.987 POCT"
"39",42618.7437037323,44349.8554622804,43945.0992835479,43635.4945373451,44990.7357525948,44460.881837797,44041.1342946912,46306.7744335875,45587.6055974288,44969.4920620918,51741.1885302025,46784.4307307286,46558.3148487694,48157.9467917984,49669.0962517547,50784.4977355934
"40",42280.4043462545,42900.1609843482,42744.1033322663,42628.9807976918,43186.0833795274,42962.4393170741,42792.0902586659,43843.4808454236,43499.2740981236,43213.5224992924,46706.9037334434,43924.5350524119,43882.8505562285,44846.2723510268,45708.2083406616,46304.8612575323
"41",31175.7848945851,33863.1309496416,33205.394488499,32710.1110071676,34956.5544538957,34067.1221158924,33375.3855500018,37304.9512225113,36031.9872299386,34959.8651867128,47669.2684400712,38009.3454336666,37670.9833771813,40768.8326981659,43708.152609574,45828.5272888451
"42",37817.0393027158,39311.7420278458,38931.6711022556,38650.332025074,39988.3812299987,39452.0061361407,39042.6471685436,41522.6362329764,40706.434661965,40030.9914420112,48535.5097999911,41810.8790716509,41667.9037817097,43883.5698474045,45944.2899239002,47383.0939610171
"43",41168.4876444038,42903.8931011379,42490.7558418559,42176.9082089923,43573.2581635474,43024.3800586023,42592.9550344721,44975.7135789583,44213.520190377,43563.5943991683,50886.5242305374,45437.3067820966,45217.0899630608,46985.2369882676,48649.0556131174,49860.7562808385
"44",29142.2868446727,30811.2192795994,30368.0264612957,30046.3736030379,31641.713422696,30989.2406000773,30504.2043678108,33658.7720818168,32578.527549457,31717.6466534723,44928.4087331113,33945.2319716029,33798.3283493132,37098.2898530364,40463.3317650357,42940.6966775189
"45",27494.3790010198,31703.5385070504,30776.2540619282,30044.672711621,33062.7191122028,31917.27049418,30976.1221028071,35622.5837906357,34211.4752285874,32948.6569228155,44863.1065538053,36765.1017533214,36239.8902833965,38897.2847663889,41332.8762509639,43128.0969515675
"46",28126.4011941747,29154.5258125544,28853.2773178227,28642.399393939,29821.5106625274,29328.4615946895,28976.0351654167,31647.2168443115,30699.9586724,29975.0483642525,43439.3552415843,31444.9159399581,31534.1523637685,35119.6332997664,38818.5709958806,41466.3865025874
"47",34432.5412603687,37421.3413965991,36749.4120107897,36225.7363768383,38423.1106019808,37577.1909438474,36892.8616083333,40369.9226613577,39288.0214455116,38339.1109431405,48056.7627106981,41257.6905909534,40846.6386600155,42979.6499960114,45025.8210498274,46591.4233620144
"48",28758.1506323709,30251.7094722687,29845.0820183084,29552.7172994613,31046.4942634806,30431.8686188662,29979.6869926176,33038.7047808612,31981.5512540813,31147.9417075398,44543.5721378416,33187.3400664111,33105.8319102282,36532.055628983,40020.8175449567,42556.8413549267
"49",25573.4623320953,28146.7213389026,27489.2503458624,27003.5479487441,29302.3718697517,28376.0195430182,27672.5026401007,31942.1448614262,30515.9355785928,29349.8611620774,45170.5634138242,32560.6540195684,32256.4629980649,36144.8001032514,39996.744940515,42816.1255763054
"50",36647.5852486528,38533.7287303844,38093.396272275,37756.6116284302,39224.3250990442,38649.3700111354,38194.4194886622,40641.6149813714,39860.3352695375,39191.5273157489,46700.2016927338,41199.2722415176,40936.1303308752,42655.7055530872,44326.7281789203,45593.5159097304
"51",39314.1378064184,40249.1496361994,39998.457281724,39817.4803210394,40735.9949990494,40359.6794827215,40081.1032951605,41938.6401292276,41304.0800471932,40798.2020532382,48396.7580719227,42025.0631277622,41977.7074061373,43981.6417120932,45941.444146853,47333.7099384035
"52",36258.4912103144,38240.9328910627,37739.9110232315,37366.2512621173,39126.7847450583,38428.7553953054,37889.8751206627,41078.4322309313,40052.2680713818,39186.7457777297,49099.4159686362,41419.5779642688,41252.0045103026,43926.477577821,46254.3912883361,47803.4121675269
"53",36500.0867307752,37525.8011786622,37259.6224952485,37065.8940749197,38010.582794136,37623.2047653724,37334.9030390001,39182.5762423416,38545.4657911014,38039.8425261146,46157.078262032,39420.0617056055,39300.3453552081,41213.1621342455,43271.7398184465,44877.9418007771
"54",39876.0447793523,40651.1412174509,40448.230558589,40300.5429518723,41035.9328680252,40736.8723655681,40513.0911765599,41960.2235353108,41473.5934734933,41079.6459598709,46533.4286037792,42048.4946601746,42001.8796482698,43465.8321620055,44846.9825490854,45814.6239361394
"55",43204.0479335006,43679.3551387986,43555.3547495212,43465.7952613005,43918.4723298078,43732.3098985632,43594.5548731487,44513.6120477107,44198.4312245686,43947.7506887944,47781.3828953058,44561.2752046775,44534.8109938005,45536.3726189254,46538.1070046163,47272.7752937793
"56",34017.5288304913,36140.4145190881,35652.932271351,35277.7962839297,36883.4046203556,36256.532272454,35757.4546895705,38378.5187558681,37543.472963689,36825.9297623692,44849.6785140978,39055.4223395003,38739.1464270542,40483.5106298191,42226.6859604478,43601.0664374653
"57",33816.1410207215,34958.5509937601,34663.6791093888,34448.1963513467,35491.1351298661,35065.5731441805,34747.0276925896,36758.3889551284,36071.5431918594,35521.4736609573,43879.5229035849,37021.2505443911,36889.6647298656,38896.1815046455,40990.5608398254,42587.7605039169
"58",42707.1040072894,43412.1653430717,43242.2943003939,43115.432493657,43698.6581640263,43464.8336510005,43285.0078203256,44335.5043779178,43988.8061391596,43701.3847921925,47382.3732176815,44519.4499343027,44429.5823292684,45318.8601164073,46203.599569514,46876.9889208989
"59",30829.0455388672,32514.3579799118,32077.530580948,31757.3660141989,33304.398006437,32676.7200294241,32204.5055923334,35159.5845723287,34161.9157208319,33355.0736290452,44862.7664940641,35514.9348649477,35337.2218581793,38200.4411748413,41063.8761745615,43162.4282056899
"60",39983.783571322,41399.1233885266,41068.6712049944,40815.8903936096,41927.0384563367,41493.3139174303,41149.3504600846,43012.0374609326,42423.9646316251,41916.5984435296,47352.4146363507,43375.2945788075,43202.6908765885,44523.5681192648,45739.9773901704,46620.7389989967
"61",33062.474867087,34356.7154853438,34053.2019040194,33822.0992340558,34841.7700763688,34440.9529119309,34125.27292635,35852.7741164287,35299.7088233291,34827.8995647446,40166.5217020826,36212.8583857952,36041.4714878218,37302.7077607576,38513.189105851,39419.1052882092
"62",28159.5733035877,30252.5408908568,29702.6612792427,29302.1495798517,31257.4004002654,30458.2257228025,29862.4651405505,33670.2088807872,32363.5713183087,31322.7331901584,47590.1839473293,34138.5430376648,33903.3705464386,37796.6484386325,41895.7060621558,45017.0936470468
"63",42243.5024252987,43057.5856739254,42848.2618961234,42695.3414303189,43440.3045576432,43136.667041712,42909.1663442695,44353.2347785875,43863.0180618007,43468.5529595493,49235.4385376888,44510.4709535739,44430.5964539006,45873.5417121093,47331.3644656563,48414.1147313268
"64",28381.0355354329,30869.5507138506,30266.6203436933,29810.9878485561,31859.3006229043,31050.4332192974,30418.8026339378,33962.8930676968,32819.2584515502,31852.0836863997,43143.6301707309,34633.3403497294,34312.5477320108,37036.1153452598,39626.6362400581,41509.8661828317
"65",30000.2867319937,32688.8614440038,32021.1831769178,31521.9113802245,33816.9398997751,32901.7089170095,32196.3157571536,36293.6186742582,34948.7379384563,33829.7025808021,47868.3998330041,37006.2782669412,36661.7229418343,40061.9906786789,43369.2385401523,45788.8093945715
"66",27989.5489658533,30227.7532038987,29658.5878558342,29236.399875682,31231.4549248049,30433.1208940781,29822.5070128617,33489.5561577648,32284.4256053743,31285.4442012445,43807.0849906148,33953.8514607185,33725.3453100242,36948.3898455707,39957.0235642268,42058.6529419301
"67",44788.7108558778,45158.8678762083,45074.0099958959,45010.1679524562,45302.9813196083,45186.6089566941,45096.0289404832,45619.1373986392,45451.0403843239,45308.5041620827,46922.8283164258,45689.7630305468,45654.4052590996,46082.0955050477,46477.1773390606,46775.5000471625
"68",25006.0293042362,27121.1264392628,26552.3829077373,26140.5460097282,28205.8370432959,27361.6937923884,26735.0700044589,30852.8292675886,29446.6864465491,28324.5524415112,45225.9690453784,31137.2871081828,30988.8135377842,35337.8345811489,39653.2164619947,42740.8840298529
"69",39831.3092564647,40443.0613667611,40291.1677937115,40178.9064508005,40714.1908835561,40498.6196937773,40334.48272295,41336.853168639,41005.4205843537,40732.1012301922,44235.160734869,41449.2919999493,41392.641439649,42307.9672675966,43173.8266145782,43799.0521942863
"70",41473.5329663136,42011.9929606721,41880.3249970654,41782.8896449316,42242.6170674457,42056.9474334664,41915.6125570494,42772.0438853798,42486.8648495507,42252.762995343,45360.8268344441,42890.2172786928,42831.2120059427,43610.5901290237,44379.0013035748,44955.6616051229
"71",37453.8384284688,39053.476670209,38656.0859031776,38359.2797631806,39736.3806617402,39187.8231989112,38764.9673424896,41242.6149485676,40434.3757945625,39758.9894298243,47968.6315363398,41608.4775079363,41430.0350088658,43507.4377791788,45453.8842475342,46835.9153159634
"72",34542.1116100427,36574.9538448684,36046.7632194527,35656.7460720952,37545.9657608963,36791.8613455895,36215.98955846,39747.3187462476,38600.0550261304,37642.2532853956,49004.5846249642,40007.1270146934,39876.603142956,43034.3221275086,45758.6406315168,47539.1120292315
"73",41149.0908105402,41680.5408539824,41542.5392008313,41442.7931865595,41940.851583715,41735.3807663788,41583.5813060123,42588.8640620891,42240.4568243964,41965.6227915606,46465.0410095006,42675.3813567238,42629.8948603125,43731.9460569622,44901.411721839,45800.4370342568
"74",27980.3610008699,31610.3250986547,30797.5767522045,30162.665722648,32811.1364632302,31793.3109510784,30967.9071677531,35127.0726132775,33834.8294852726,32699.4086475154,44287.3797138735,36225.365652541,35718.8651948571,38215.9336883777,40623.8375189343,42482.0823361058
"75",42270.3227855423,43161.8248628676,42933.3028110667,42765.6908153435,43578.4005244361,43249.1533596966,43000.9046132574,44555.8392021876,44034.6599237558,43610.5676977811,49418.5014577629,44715.7597926943,44634.8937512511,46131.1237942784,47578.266042117,48619.4314837213
"76",31817.652207376,34008.4892283546,33487.0094510276,33090.9437653496,34842.8377071187,34152.4179532756,33610.6676261497,36590.070538376,35629.4222327427,34814.9491656904,44321.1375388717,37235.8737129806,36929.2160362136,39131.0614904512,41284.720458898,42907.8060846694
"77",35270.4624338606,36297.4285636792,36043.0075147717,35853.7957486059,36737.0411199019,36382.9360572371,36111.6570058987,37723.2362261524,37191.5471432547,36751.5187823583,42371.9992740435,37964.924875276,37846.2739464975,39246.9228944694,40601.9801862701,41593.2430186021
"78",45199.9689076439,45763.8878620795,45624.6876110067,45521.8601934211,46010.6534131264,45813.2619668141,45663.220751345,46579.6692975404,46274.8158413676,46024.5616388988,49325.9891737774,46693.298878048,46636.2054138071,47479.6790597813,48299.0051733218,48903.9308023112
"79",38805.4804153725,39535.8671995616,39354.0168652979,39219.8504628397,39854.675652788,39597.5052980941,39402.6627635819,40591.6736012526,40191.9948298548,39866.6929393533,44406.1684143242,40767.9701072043,40680.4491858258,41784.6389395056,42906.6539325281,43758.9037520632
"80",31248.2312323321,33932.0182905988,33271.6025488645,32775.302922421,35038.4843406655,34141.1662401764,33444.8494647666,37429.4158313109,36136.2133678658,35049.3196918181,48025.9194972341,38116.4508435445,37785.5315505096,40973.2394017144,43989.3785036005,46153.8059941021
"81",24470.0812612931,27433.2891951894,26698.5873332113,26148.432707894,28671.3314556165,27666.9009403348,26891.301085358,31376.4946154456,29908.741107675,28684.1633184216,43844.2732010542,32157.859937122,31780.6931756581,35462.6799407936,39017.6209780215,41603.4679417912
"82",36003.6082054941,37450.9700890613,37066.7392241862,36788.0162142302,38173.4295105406,37606.6365306293,37185.4640513284,39932.0235569017,38991.6652579936,38242.2339052478,49710.9803800148,40168.3424408103,40046.3895960489,42931.274940402,45863.4253641021,48015.3481474146
"83",37189.5880815396,38303.9342978419,38017.2352136501,37806.810372839,38824.9534211918,38412.879056605,38101.955254471,40043.3976917196,39393.0638071719,38863.5619072773,46096.2877343096,40250.3634976466,40146.0844348875,42003.7483728093,43802.7855721864,45093.4923239771
"84",47581.2474211025,48148.0539305567,48019.5442662088,47921.8545331131,48352.4737643231,48182.1201709115,48048.325183319,48784.132408335,48546.7849006812,48345.3084648461,50687.0773503056,48942.4139568988,48866.4186984179,49414.5348559439,49957.7502043768,50385.7974976277
"85",33684.65042675,34838.2412758695,34561.1817900064,34352.878834125,35291.9842728585,34917.6222464182,34627.6296324046,36274.9333146877,35734.022938364,35282.9408192353,40965.6581275011,36616.5750706354,36452.4234473202,37767.5682266242,39094.4301380275,40118.5983022308
"86",35367.5542933871,37159.4231473727,36756.1008540641,36444.0255708901,37758.8809957553,37246.9033008334,36837.0192706408,38944.888325998,38274.7593621455,37696.760997074,44127.2322606546,39543.5800642518,39265.9492916769,40599.1210345852,41964.0985027145,43085.5345937811
"87",27991.2504129953,29976.10346754,29431.4116527242,29039.7899079115,31050.8302282038,30225.5738458889,29617.5473298443,33733.6039607699,32320.4271995154,31200.2122089569,48491.6773740507,33874.8848656936,33794.5281218143,38355.5905561784,42842.4286358123,46002.6142768734
"88",36818.7837781544,37987.6459374595,37669.9115364248,37440.7870333515,38615.407715869,38135.5940395343,37780.1091923068,40162.4325158547,39354.971619583,38707.4693363912,48000.9112952537,40218.333221785,40184.7742757429,42737.6690501775,45126.4177440045,46757.1396231073
"89",36120.3516006155,37712.6265190223,37319.6912183943,37026.7968594454,38371.4692564234,37831.4297083841,37417.6118768639,39835.9194605575,39030.3891264938,38367.9944245301,47290.7808565219,40310.7715568501,40081.0385666056,42139.7575165945,44263.5832792233,45909.5043195375
"90",31303.8216485004,33602.3974071967,33047.3348461016,32629.2261790659,34496.5882109817,33752.8187183682,33175.9965541029,36413.6079254081,35347.2265737275,34459.5558868476,45872.0257941238,37169.4864658258,36809.6814740413,39332.8037578899,41950.7312288616,44025.345515101
"91",36189.9326066249,37793.6201523233,37398.2907769337,37102.4093168175,38463.8945288552,37921.7064581213,37503.0656660321,39933.800801173,39139.8753829302,38476.5449570803,46597.2625582384,40331.5903085667,40138.4950601124,42147.999625472,44066.5010435942,45454.961164095
